Distrito,Mean,Var,ACF1,Trend,Linearity,Curvature,Season,Peak,Trough,Entropy,Lumpiness,Spikiness,Lshift,Vchange,Fspots,Cpoints,KlScore,ChangeIdx
FUERTE OLIMPO,28.196092186647636,63.7863621317523,-0.17276095140772033,0.911257929460119,0.0016371612453259811,-0.4968562164364051,0.0371728666595208,1e-07,-0.006665241257933559,0.916290731874155,1.1921799287735345e-11,2.849805208242184e-09,1e-07,1e-07,185.0,3.0,1e-10,1e-10
MBARACAYU,15.099337393312972,28.975131416104546,-0.24665687262768438,0.9636265742421356,0.00025791077173571513,-0.07978663079525052,0.019339273709250926,1e-07,-0.0032194288072859194,1e-08,0.00013855924497669695,1.8858816181012075e-10,1e-07,1e-07,191.0,0.0,1e-10,1e-10
NANAWA,64.04134078447048,4392.406679452426,0.31712171847852977,0.7437122346859046,0.0021164884877605114,-0.5883424943287627,0.01850353112690095,1e-07,-0.007379410432554495,2.0794415416798357,0.00048196499604434166,1.0060468468503888e-08,0.058823529411732786,0.0011534025374843311,170.0,4.0,1e-10,1e-10
NARANJAL,25.193182535266214,201.80270052200774,-0.25268895785353446,0.983934030455069,0.0001907026632439628,-0.059014802089424306,0.01676988825549508,1e-07,-0.0019655309679003138,1e-08,2.8386765414273384e-05,3.343486995466781e-11,1e-07,1e-07,191.0,0.0,1e-10,1e-10
KATUETE,41.013136163650074,1225.1231865869568,0.6153902157352984,0.8744841584436611,0.0039630340664682595,-1.077318779971768,0.025022771528308452,1e-07,-0.01318192713541297,1.252762968495368,0.00012285069885749597,5.80851946438818e-09,0.09999999999992537,0.0033333333333283584,165.0,8.0,1e-10,1e-10
SAN PEDRO DEL PARANA,3.056536981325148,0.00028326296258348807,0.7070589677211788,0.9724670969336954,0.004039484279913384,-1.2098980020601093,0.021236357756043156,1e-07,-0.00784623431146646,0.3364722366212129,1.7876488428091238e-12,4.8822843720717264e-09,1e-07,1e-07,182.0,1.0,1e-10,1e-10
CARLOS ANTONIO LOPEZ,7.173755925799034,6.312639590766421,-0.6296662384808073,0.9011790125984346,0.0021995011409439145,-0.6637812072185452,0.016072061554351702,1e-07,-0.009762285542092942,0.916290731874155,0.00040119433012119715,6.058654023328762e-09,1e-07,1e-07,184.0,6.0,1e-10,1e-10
EDELIRA,4.120006109644088,6.6561221469032626e-06,0.8597708195664269,0.969897166306215,0.0036889508286659044,-1.1093299403075467,0.02088912674932486,1e-07,-0.0078018796678404195,0.8472978603872037,0.002253179927838313,5.180880298294874e-09,1e-07,1e-07,183.0,1.0,1e-10,1e-10
HOHENAU,8.700956262802237,6.1121872248851865,-0.19290168423668017,0.925353268100443,0.0032277793435723737,-0.9501530452871202,0.02452358050588832,1e-07,-0.009072019741342193,0.6257058997644128,0.0002416138051993353,4.8128102368153686e-09,1e-07,1e-07,178.0,3.0,1e-10,1e-10
SAN IGNACIO,5.540997839831271,12.158679448312673,0.24933196692872678,0.8299263030810226,0.00307409068691321,-0.8608737019598409,0.00984274847243305,1.0,-0.005867021932340071,0.8754687373538999,0.0007779234165813726,1.0683950370836962e-08,0.1999999999995138,0.013333333333268504,170.0,4.0,1e-10,1e-10
ABAI,4.330970552212669,2.2962912793389734,0.10164156546688505,0.886004681040598,0.0018938057728073434,-0.5722617150600884,0.026339775600672577,1e-07,-0.008059608345270256,0.8472978603872037,0.0002640459186431939,7.821358006920887e-09,1e-07,1e-07,185.0,3.0,1e-10,1e-10
CAPIIBARY,12.459583331609053,71.90865740249798,0.25548987326807304,0.8358151719463487,0.0028289125315817927,-0.8408319957294471,0.028715651737976744,1e-07,-0.012237556133989504,1e-08,0.0015594268412129897,1.832831224594608e-08,1e-07,1e-07,178.0,4.0,1e-10,1e-10
CARAGUATAY,16.565883338088685,144.5608769321806,0.25360641251071064,0.7865399010026146,0.003756242304237616,-0.9931562164684138,0.05701245737520155,1e-07,-0.0196274979426719,1.289667525430819,6.700840766019298e-05,1.279933671689295e-08,0.1388888888887626,0.011316872427970567,154.0,4.0,1e-10,1e-10
CORPUS CHRISTI,17.822533023572706,98.88875329070906,0.19933123317545515,0.8271022820082415,0.0030094766290952152,-0.8541198289857048,0.003654610399827396,1e-07,-0.003717409704351883,1.0704414117014134,0.00035324661170447113,8.882973630274718e-09,0.19999999999984616,0.01333333333331282,171.0,6.0,1e-10,1e-10
RAUL ARSENIO OVIEDO,8.940615386611105,26.91949978020211,0.036549398398379354,0.9324468906968533,0.001593695166991245,-0.4752983872291928,0.02734575686852292,1e-07,-0.0055581521566510006,0.7472144018302211,0.0004453549035190617,6.178596861889281e-10,1e-07,1e-07,180.0,1.0,1e-10,1e-10
