,Distrito,Mean,Var,ACF1,Trend,Linearity,Curvature,Season,Peak,Trough,Entropy,Lumpiness,Spikiness,Lshift,Vchange,Fspots,Cpoints,KlScore,ChangeIdx
94,CAPITAN MIRANDA,8.788331097313886,0.009094432329986791,0.7754629629629612,0.973267433932101,0.013088259567144421,-1.8215330428527456,0.04451137162330954,1e-07,-0.016134510869565216,0.3429447511268303,1.364987863452971e-65,3.350192747295007e-08,0.9766577332065094,0.31795344261069236,86.0,1.0,1e-10,1e-10
95,FUERTE OLIMPO,25.955504365721257,0.044433446245264456,-0.24999999999999797,0.8992450449676331,0.0013936735414704486,-0.2048186206578309,0.04111384212934055,1e-07,-0.0140567876344085,1e-08,0.004142093579897836,3.414073151966332e-08,1e-07,1e-07,96.0,1.0,1e-10,1e-10
96,MBARACAYU,17.01520327306805,32.45107091652773,-1.0,0.94570536959516,0.0003938391836414856,-0.05809526304245058,0.026605638578963142,1e-07,-0.007150773438972341,1e-08,0.0002736726324140852,3.667651899388753e-09,1e-07,1e-07,97.0,0.0,1e-10,1e-10
97,NANAWA,42.83625475964599,3001.545970546233,-0.2820817846621702,0.46507727959424583,0.0018115266381494937,-0.2620207902403877,0.04237942768494696,1e-07,-0.012273550724637488,1e-08,8.417669268728444e-07,1.865629137213037e-07,1e-07,1e-07,94.0,2.0,1e-10,1e-10
98,NARANJAL,25.193182535266214,201.80270052200774,-0.25268895785353446,0.9837528726969391,0.0005790239122244568,-0.08518341386423157,0.03359988442434225,1e-07,-0.0039403625510939545,1e-08,5.556558336410959e-05,2.3954962371043943e-10,1e-07,1e-07,96.0,0.0,1e-10,1e-10
99,KATUETE,23.286921380807406,338.6408191598637,0.365377901428129,0.8231793871268916,0.004736229726445045,-0.6655377792224663,0.05172120293919191,1e-07,-0.022399607487924956,1.3862943611198906,0.0001743018712072154,4.323046964189266e-08,1e-07,1e-07,85.0,2.0,1e-10,1e-10
100,SAN PEDRO DEL PARANA,3.0838377179536107,6.036514802867622e-05,-0.25,0.8980428575816382,0.0014083875683739248,-0.20697943691536458,0.04112882385467498,1e-07,-0.014239705184443834,1e-08,0.004342968900065947,3.608075214304408e-08,1e-07,1e-07,96.0,1.0,1e-10,1e-10
101,CARLOS ANTONIO LOPEZ,7.331580389827822,6.453877243140118,-0.41459136264346685,0.8544214765502146,0.004159122126336884,-0.5997209435706121,0.07553321699587723,1e-07,-0.01945539866732663,1e-08,0.002674097818268865,9.803901411301483e-08,1e-07,1e-07,92.0,4.0,1e-10,1e-10
102,EDELIRA,4.123201442670095,7.799864919319192e-07,-0.1111111111111111,0.9189934077461696,0.0025064196949881367,-0.36708935586334585,0.04175725968110733,1e-07,-0.015562619580748316,1e-08,2.6551033689815937e-16,3.702145368611041e-08,1e-07,1e-07,95.0,1.0,1e-10,1e-10
103,HOHENAU,8.68491861636942,5.257819136380445,-0.15289224025929063,0.92863865308857,0.005542602805963947,-0.7850094563206886,0.03852396144890702,1e-07,-0.012868183788472683,0.7419373447293773,0.0005066870261311958,1.9554856465520284e-08,1e-07,1e-07,89.0,1.0,1e-10,1e-10
104,SAN IGNACIO,3.434033665016368,0.0008390135359613809,0.5,0.9450745700154384,0.00489335371316914,-0.7102898635997927,0.043229040595388235,1e-07,-0.015699739082817937,1.0986122886681098,0.0041310334344618746,3.437806823376947e-08,1e-07,1e-07,93.0,1.0,1e-10,1e-10
