anio;semana;distrito_notif;tmax;tmin;tmed;td;pres_est;pres_nm;prcp;hr;helio;nub;vmax_d;vmax_f;vmed;id_estacion;casos
2009;10;PEDRO JUAN CABALLERO;30.48;20.704;24.364;21.048;949.088;1010.216;6.512;83.52;6.12;5.92;??;??;??;86097;25
2009;10;REPATRIACION;33.04444444;21.98888889;26.81111111;23.5;??;??;4.022222222;83.55555556;9.655555556;3.666666667;??;??;??;86234;9
2009;10;SAN ANTONIO;31.66666667;23.2;27.23333333;22.66666667;1000.666667;1009.9;0;78.33333333;5.866666667;4.666666667;??;??;??;86218;3
2009;10;SAN JUAN NEPOMUCENO;29.8;21.4;24.6;21.9;989.5;1013.3;0;86;8;5;??;??;??;86268;1
2009;10;SAN LORENZO;33.50833333;23.06666667;??;??;??;??;1.158333333;??;7.895833333;??;??;??;??;86185;24
2009;10;VILLA ELISA;30.5;24;26.175;22.525;1001.525;1010.825;0.25;80.75;4.175;6.25;??;??;??;86218;4
2009;10;VILLA HAYES;31.1;23.05;26.38333333;21.83333333;1001.8;1011.15;0.166666667;77.33333333;7.583333333;5.166666667;??;??;??;86218;6
2009;10;YAGUARON;30.65;21.15;25.2;21.45;999.075;1014.625;2.5;81.25;5.325;5;??;??;??;86221;4
2009;10;YBY YAU;30.2;20.8;24;21;948.7;1009.8;13.3;85;3.6;6;??;??;??;86097;1
2009;10;YPACARAI;30.6;20.6;25.1;21.4;998.8;1014.3;0;82;7;2;??;??;??;86221;2
2009;10;YPANE;31.9;22.33333333;26.46666667;21.21666667;1002.133333;1011.533333;0.6;74.5;5.966666667;5.5;??;??;??;86218;6
2009;11;ASUNCION;35.35555556;24.76296296;29.15740741;21.93888889;1000.133333;1009.492593;2.477777778;67.2037037;8.092592593;3.388888889;??;??;??;86218;54
2009;11;BELEN;38;25;30.8;22.9;999.5;1008.5;0;66;11;2;??;??;??;86134;1
2009;11;BELLA VISTA;34.4;20.9;27.2;20.15;948.9;1009.1;0;68;8.95;3;??;??;??;86294;2
2009;11;CAACUPE;35.7;22.85;28.625;21.575;997.875;1013.25;0;67.75;10.1;0.75;??;??;??;86221;4
2009;11;CAPIATA;35.46666667;24.60952381;29.2952381;22.18095238;1000.428571;1009.780952;2.685714286;67.9047619;8.895238095;3.047619048;??;??;??;86218;21
2009;11;CECILIO BAEZ;32.81818182;23.73636364;27.81818182;19.90909091;988.9272727;1010.8;3.836363636;63.45454545;??;3.545454545;??;??;??;86192;11
2009;11;CONCEPCION;35.52285714;24.86285714;29.08285714;23.68571429;1000.897143;1009.925714;1.08;75.25714286;7.517142857;3.457142857;??;??;??;86134;35
2009;11;CORONEL OVIEDO;34.2;22.6;27.55;22.15;??;??;0;74.75;10.675;2.75;??;??;??;86234;4
2009;11;ENCARNACION;32.5;24;27;23;999.2;1009.5;0.5;79;??;5;??;??;??;86297;1
2009;11;FERNANDO DE LA MORA;36.06;24.97333333;29.75333333;22.19333333;1000.113333;1009.46;1.3;65.86666667;9.3;3;??;??;??;86218;15
2009;11;GUARAMBARE;30.7;24.3;26.2;22.45;1001.4;1010.8;9.3;80.5;3.4;6;??;??;??;86218;2
2009;11;HERNANDARIAS;33.8;22.7;26.8;22.5;984.55;1012.55;0.5;80;7.55;6;??;??;??;86246;2
2009;11;HORQUETA;36.96296296;24.91851852;30.2037037;23.36296296;1000.677778;1009.685185;0.355555556;69.92592593;9.855555556;2.074074074;??;??;??;86134;27
2009;11;ITA;33.41666667;23.66666667;27.34166667;22.15;997.575;1013.15;6;75.16666667;5.891666667;3;??;??;??;86221;12
2009;11;ITAUGUA;37.3;25.76;30.78;22.36;999.42;1008.74;0;63.2;10.34;2.8;??;??;??;86218;5
2009;11;J A SALDIVAR;33.01818182;24.76363636;27.84545455;22.53636364;1000.854545;1010.236364;3.436363636;74.27272727;5.963636364;4.818181818;??;??;??;86218;11
2009;11;LAMBARE;36.03636364;24.56363636;29.64545455;22.09090909;1000.363636;1009.718182;0.054545455;65.81818182;9.9;2.454545455;??;??;??;86218;11
2009;11;LIMPIO;33.1;24.16;27.52;21.78;1000.74;1010.12;7.44;73;6.08;4.2;??;??;??;86218;5
2009;11;LUQUE;35.75;24.46666667;29.43333333;22.18333333;1000.483333;1009.833333;3.15;67.66666667;8.8;3;??;??;??;86218;6
2009;11;MARIANO ROQUE ALONSO;35.92857143;25.4;29.88571429;22.57142857;1000.042857;1009.385714;0.042857143;67;9.071428571;3.428571429;??;??;??;86218;7
2009;11;MINGA GUAZU;34.6;22.26666667;27.16666667;22;984;1012;0.333333333;76;8.866666667;5.333333333;??;??;??;86246;3
2009;11;NUEVA ITALIA;35.7;23;28.8;21.5;997.9;1013.3;0;67;10.1;0.5;??;??;??;86221;2
2009;11;PEDRO JUAN CABALLERO;34.64102564;22.46153846;28.02307692;20.73846154;949.5205128;1009.789744;0.061538462;67.23076923;9.243589744;3.487179487;??;??;??;86097;39
2009;11;PONTA PORA - BRASIL;33.4;22;27.1;21.9;950.2;1010.7;0.3;74;8.3;5;??;??;??;86097;1
2009;11;REPATRIACION;34.46315789;22.57894737;27.44210526;22.54736842;??;??;0.178947368;76.63157895;9.978947368;3.105263158;??;??;??;86234;19
2009;11;SAN ANTONIO;35.65;25.05;29.3;21.725;999.7;1009.05;4.725;66;7.45;3.75;??;??;??;86218;4
2009;11;SAN LORENZO;33.8;23.88;??;??;??;??;11.4;??;5.13;??;??;??;??;86185;10
2009;11;SANTA ROSA;31;25;25.1;20;996.3;1010.7;0;75;??;5;??;??;??;86260;1
2009;11;VILLA ELISA;32.93333333;25;27.9;22.73333333;1000.866667;1010.233333;6.2;75;6.2;5;??;??;??;86218;3
2009;11;VILLA HAYES;35.33333333;25.46666667;29.4;22.33333333;999.9333333;1009.266667;6.2;68;8.133333333;4;??;??;??;86218;3
2009;11;VILLETA;32;24.8;27.3;22.7;1001;1010.4;0;77;5.6;5;??;??;??;86218;1
2009;11;YAGUARON;32.73333333;24.13333333;27.03333333;22.26666667;997.8666667;1013.5;6;77;4.566666667;3.666666667;??;??;??;86221;3
2009;11;YBY YAU;35.2;22.8;28.5;21.6;949.7;1009.9;0;69;10.3;5;??;??;??;86097;1
2009;11;YPACARAI;35;23.85;28.31666667;22.21666667;997.725;1013.116667;0;71.25;7.633333333;2.416666667;??;??;??;86221;24
2009;11;YPANE;33.84444444;25;28.26666667;22.14444444;1000.288889;1009.644444;8.266666667;71.66666667;6.266666667;4.666666667;??;??;??;86218;9
2009;12;ASUNCION;33.01388889;20.11666667;25.62083333;19.45833333;1001.941667;1011.305556;0.168055556;73.15277778;9.231944444;3.722222222;??;??;??;86218;72
2009;12;BELLA VISTA;29.9;19.9;23.15;18.8;948.9;1010.6;1.9;78;6.8;6.5;??;??;??;86294;2
2009;12;CAACUPE;32;19.4;24.9;20.1;999.1;1014.7;0;78;7.3;4;??;??;??;86221;1
2009;12;CAAGUAZU;31.5;18.6;23.95;20.65;??;??;0.2;83;9.2;5.5;??;??;??;86234;2
2009;12;CAMPO 9;32.6;21.6;26.1;21;982.8;1010.8;0;75;8.3;5;??;??;??;86246;1
